time_ms,label,ax,ay,az,gx,gy,gz
596,2,-2376,15328,960,-422,-984,492
606,2,-2348,15432,1048,-470,-1308,551
616,2,-2280,15480,1016,-539,-1615,562
626,2,-2276,15608,1012,-582,-1851,555
636,2,-2048,15548,1020,-659,-2048,525
646,2,-1780,15616,1128,-698,-2148,443
656,2,-1556,15632,1032,-748,-2156,324
666,2,-1376,15696,840,-777,-2139,196
676,2,-1328,15500,832,-805,-2099,69
686,2,-1296,15588,652,-823,-2096,-35
696,2,-1240,15620,660,-870,-2117,-118
706,2,-1200,15420,264,-882,-2146,-231
716,2,-848,15352,644,-965,-2273,-276
726,2,-828,15328,424,-982,-2292,-320
736,2,-512,15164,196,-1012,-2344,-367
746,2,-316,14972,228,-1031,-2371,-404
756,2,-108,14916,136,-1029,-2283,-488
766,2,76,14968,84,-1026,-2198,-556
776,2,440,15040,32,-981,-2082,-614
786,2,464,15240,128,-947,-1910,-636
796,2,716,15388,296,-892,-1672,-643
806,2,820,15436,276,-809,-1260,-633
816,2,1044,15360,324,-751,-832,-621
826,2,1192,14960,324,-633,-385,-620
836,2,1200,15404,444,-509,260,-681
846,2,984,16140,256,-382,721,-751
856,2,688,16600,580,-333,1045,-755
866,2,900,16340,576,-247,1538,-768
876,2,744,15916,496,-145,1919,-868
886,2,340,15964,404,-13,2213,-984
896,2,40,16120,608,87,2483,-1054
906,2,-428,16216,664,231,2570,-1071
916,2,-956,16256,1040,323,2381,-1030
926,2,-1352,16352,1316,343,2107,-988
936,2,-1368,16076,1788,329,1804,-942
946,2,-1432,16044,2056,270,1598,-908
956,2,-1416,16076,2224,208,1554,-905
966,2,-1648,15948,2068,169,1646,-870
976,2,-1960,15772,1932,183,1669,-793
986,2,-2588,15684,1908,147,1534,-670
996,2,-3024,15656,1880,79,1131,-528
1006,2,-3280,15736,1996,-45,661,-438
1016,2,-3264,15760,1792,-158,260,-343
1026,2,-3008,15624,1772,-233,-51,-249
1036,2,-2860,15516,1588,-262,-246,-190
1046,2,-2876,15544,1628,-279,-314,-141
1056,2,-2632,15500,1296,-332,-390,-146
1066,2,-2540,15532,1328,-351,-447,-157
1076,2,-2388,15248,972,-370,-428,-189
1086,2,-2360,15148,792,-366,-412,-202
1096,2,-2248,15004,576,-325,-323,-211
