time_ms,label,ax,ay,az,gx,gy,gz
606,2,3176,-2028,13868,-132,-182,-212
616,2,3232,-2052,13724,-145,-181,-198
626,2,3232,-2096,13736,-159,-214,-193
636,2,3276,-2000,13732,-156,-233,-208
646,2,3472,-2032,13956,-169,-220,-186
656,2,3464,-2044,13672,-190,-206,-196
666,2,3376,-2064,13872,-206,-202,-200
676,2,3352,-2092,13804,-197,-195,-180
686,2,3344,-2204,13736,-191,-184,-187
696,2,3424,-2256,13860,-162,-181,-168
706,2,3308,-2248,13580,-165,-157,-156
716,2,3416,-2280,13532,-158,-158,-168
726,2,3352,-2244,13720,-156,-201,-148
736,2,3348,-2168,13644,-144,-209,-105
746,2,3416,-2196,13716,-143,-219,-94
756,2,3376,-2152,13684,-149,-232,-85
766,2,3344,-2148,13564,-135,-212,-74
776,2,3480,-2236,13396,-123,-187,-62
786,2,3332,-2440,13648,-128,-169,-67
796,2,3224,-2288,13528,-106,-127,-79
806,2,3276,-2324,13444,-102,-137,-104
816,2,3220,-2372,13500,-127,-169,-99
826,2,3092,-2248,13688,-99,-173,-113
836,2,3180,-2244,13724,-112,-208,-118
846,2,3148,-2304,13644,-125,-228,-117
856,2,3124,-2252,13656,-143,-220,-107
866,2,3256,-2112,13680,-124,-193,-113
876,2,3288,-2116,13584,-133,-160,-104
886,2,3320,-2184,13648,-131,-92,-119
896,2,3372,-2036,13456,-153,-61,-116
906,2,3292,-2188,13616,-138,-51,-127
916,2,3180,-2228,13664,-158,-82,-138
926,2,3024,-2304,13700,-152,-123,-144
936,2,3148,-2272,13744,-165,-186,-144
946,2,3080,-2284,13744,-147,-245,-149
956,2,3288,-2216,13640,-157,-267,-141
966,2,3384,-2248,13820,-159,-254,-137
976,2,3468,-2292,13748,-161,-203,-145
986,2,3424,-2268,13848,-157,-145,-146
996,2,3300,-2148,13740,-160,-106,-151
1006,2,3240,-2328,13752,-166,-104,-151
1016,2,3168,-2192,13924,-156,-130,-144
1026,2,3036,-2340,13652,-171,-166,-151
1036,2,3064,-2248,13760,-168,-236,-150
1046,2,3352,-2252,13716,-181,-261,-151
1056,2,3396,-2284,13636,-161,-251,-157
1066,2,3352,-2268,13616,-165,-243,-158
1076,2,3304,-2292,13516,-179,-203,-146
1086,2,3260,-2240,13644,-161,-169,-129
1096,2,3260,-2180,13652,-153,-175,-130
1106,2,3204,-2252,13732,-154,-189,-115
1116,2,3224,-2200,13648,-150,-213,-105
1126,2,3096,-2112,13684,-152,-236,-117
1136,2,3240,-2280,13616,-148,-252,-122
1146,2,3304,-2404,13632,-151,-224,-145
1156,2,3352,-2376,13708,-153,-215,-156
1166,2,3384,-2264,13516,-143,-191,-154
1176,2,3360,-2268,13500,-141,-156,-141
1186,2,3248,-2292,13556,-138,-159,-135
1196,2,3344,-2348,13536,-117,-154,-145
1206,2,3120,-2284,13524,-121,-185,-137
1216,2,3284,-2292,13644,-120,-219,-142
1226,2,3272,-2028,13604,-121,-229,-158
1236,2,3288,-2176,13652,-132,-229,-159
1246,2,3372,-2152,13508,-122,-214,-168
1256,2,3340,-2260,13748,-129,-170,-158
1266,2,3460,-2140,13700,-107,-127,-165
1276,2,3216,-2108,13736,-130,-98,-151
1286,2,3272,-2240,13692,-127,-113,-161
1296,2,3288,-2316,13516,-112,-137,-148
1306,2,3256,-2284,13752,-124,-144,-153
1316,2,3232,-2348,13612,-112,-149,-131
1326,2,3260,-2248,13772,-126,-170,-126
1336,2,3268,-2300,13636,-129,-172,-122
1346,2,3352,-2280,13816,-123,-161,-110
1356,2,3148,-2172,13716,-133,-150,-116
1366,2,3248,-2196,13772,-131,-182,-107
1376,2,3208,-2148,13680,-142,-176,-120
1386,2,3244,-2192,13712,-164,-185,-128
1396,2,3168,-2200,13876,-169,-167,-144
1406,2,3284,-2204,13712,-189,-164,-127
1416,2,3228,-2284,13688,-186,-162,-142
1426,2,3208,-2272,13612,-174,-166,-126
1436,2,3212,-2224,13616,-183,-174,-129
1446,2,3140,-2248,13620,-176,-214,-135
1456,2,3268,-2284,13676,-149,-234,-139
1466,2,3248,-2276,13640,-160,-234,-150
1476,2,3380,-2276,13484,-148,-222,-153
1486,2,3396,-2252,13504,-132,-211,-149
1496,2,3268,-2332,13604,-127,-183,-141
1506,2,3212,-2208,13524,-125,-177,-145
1516,2,3232,-2132,13708,-145,-155,-137
1526,2,3272,-2172,13712,-159,-158,-140
1536,2,3200,-2232,13660,-168,-154,-136
1546,2,3176,-2284,13540,-165,-161,-127
1556,2,3312,-2308,13712,-147,-181,-133
1566,2,3288,-2220,13556,-152,-182,-145
1576,2,3208,-2148,13536,-151,-205,-135
1586,2,3232,-2160,13568,-148,-187,-131
1596,2,3224,-2104,13452,-159,-195,-137
1606,2,3208,-2192,13700,-142,-184,-133
1616,2,3280,-2224,13524,-143,-178,-141
1626,2,3360,-2228,13608,-140,-179,-138
1636,2,3344,-2152,13728,-135,-139,-151
1646,2,3180,-2148,13712,-118,-131,-154
1656,2,3128,-2164,13804,-115,-150,-149
1666,2,3204,-2228,13920,-126,-176,-160
1676,2,3188,-2152,13764,-123,-211,-172
1686,2,3304,-2232,13820,-129,-245,-149
1696,2,3356,-2228,13764,-147,-238,-146
1706,2,3400,-2232,13620,-133,-230,-130
1716,2,3384,-2328,13628,-164,-201,-105
1726,2,3368,-2244,13760,-166,-200,-107
1736,2,3428,-2096,13668,-180,-163,-107
1746,2,3316,-2244,13764,-188,-176,-116
1756,2,3332,-2256,13644,-176,-188,-110
1766,2,3352,-2336,13600,-188,-196,-109
1776,2,3164,-2292,13576,-190,-197,-121
1786,2,3216,-2208,13592,-197,-184,-120
1796,2,3216,-2300,13404,-174,-177,-128
1806,2,3212,-2276,13696,-186,-167,-137
1816,2,3100,-2336,13704,-186,-179,-138
1826,2,3128,-2168,13664,-181,-185,-140
1836,2,3108,-2208,13692,-177,-200,-138
1846,2,3144,-2208,13664,-175,-236,-127
1856,2,3268,-2276,13684,-169,-254,-136
1866,2,3360,-2288,13680,-152,-238,-148
1876,2,3404,-2272,13696,-147,-201,-136
1886,2,3448,-2296,13636,-152,-168,-144
1896,2,3224,-2368,13736,-131,-146,-145
1906,2,3264,-2284,13660,-129,-158,-142
1916,2,3100,-2180,13864,-119,-196,-119
1926,2,3072,-2168,13724,-153,-252,-137
1936,2,3080,-2208,13804,-144,-276,-135
1946,2,3284,-2252,13872,-136,-275,-118
1956,2,3296,-2148,13672,-150,-261,-125
1966,2,3308,-2204,13736,-158,-233,-133
1976,2,3384,-2176,13816,-140,-236,-105
1986,2,3328,-2232,13664,-168,-192,-137
1996,2,3344,-2176,13588,-169,-177,-132
2006,2,3296,-2256,13592,-175,-163,-122
2016,2,3316,-2224,13600,-145,-151,-101
2026,2,3320,-2240,13600,-165,-143,-120
2036,2,3232,-2204,13528,-150,-162,-125
2046,2,3324,-2280,13588,-148,-144,-113
2056,2,3340,-2280,13524,-135,-161,-112
2066,2,3308,-2220,13448,-138,-159,-113
2076,2,3316,-2348,13656,-109,-151,-101
2086,2,3120,-2336,13616,-119,-189,-122
2096,2,3144,-2104,13712,-113,-222,-128
2106,2,3128,-2200,13780,-119,-255,-118
2116,2,3172,-2244,13860,-127,-295,-133
2126,2,3216,-2244,13920,-132,-294,-133
2136,2,3124,-2252,14168,-157,-318,-150
2146,2,3136,-2264,13932,-188,-323,-170
2156,2,3116,-2356,14032,-218,-332,-186
2166,2,3280,-2360,14204,-247,-337,-189
2176,2,3344,-2260,14108,-281,-363,-179
2186,2,3424,-2136,14248,-360,-382,-182
2196,2,3576,-2020,14440,-452,-389,-164
2206,2,3848,-2160,14540,-574,-340,-111
2216,2,3804,-2268,14796,-702,-324,-28
2226,2,3704,-2320,15364,-897,-374,40
2236,2,3572,-2116,15576,-1150,-446,103
2246,2,3448,-1932,15972,-1410,-604,144
2256,2,-32768,-9832,7376,-6837,25901,1941
2266,2,21076,-5108,32767,5260,-13916,-1631
2276,2,-13784,5324,12020,2263,-260,-1191
2286,2,-1836,-4952,15836,-30,6019,-401
2296,2,8160,-7860,17324,1255,2034,-82
2306,2,3328,-1200,16324,-2,1943,274
2316,2,2144,-1004,16216,100,2453,-305
2326,2,4308,-1816,14216,534,2643,-768
2336,2,4332,-4096,13388,554,3239,-723
2346,2,3864,-4932,13304,923,3153,-946
2356,2,2860,-4476,13512,1288,3170,-1460
2366,2,1844,-3056,14424,1389,3020,-1761
2376,2,864,-1136,14792,1288,2603,-1639
2386,2,-228,192,15816,1062,2099,-1221
2396,2,-708,512,16320,751,1354,-686
2406,2,-1220,660,16704,460,289,-129
2416,2,-736,40,16532,127,-737,473
2426,2,112,-1064,16596,-108,-1758,884
2436,2,1116,-2620,16432,-180,-2770,843
2446,2,1064,-3412,15892,-171,-3866,443
2456,2,1464,-2500,15204,-222,-4822,54
2466,2,3800,-1712,14708,-322,-5044,-289
2476,2,5788,-736,14392,-527,-4329,-482
2486,2,6880,292,13556,-802,-2831,-205
2496,2,6664,-836,13312,-914,-1351,178
2506,2,5768,-1812,12920,-952,-257,419
2516,2,4396,-2080,13100,-902,362,478
2526,2,3192,-1872,13204,-890,527,527
2536,2,2336,-1892,13080,-846,430,642
2546,2,1888,-2164,13388,-833,52,737
2556,2,1592,-2540,13248,-738,-451,761
2566,2,1612,-2616,13288,-652,-869,745
2576,2,1936,-2708,13176,-558,-1239,701
2586,2,2160,-2624,13184,-440,-1438,607
2596,2,2628,-2416,13268,-361,-1473,571
2606,2,2872,-2000,13096,-340,-1373,466
2616,2,2972,-1816,13452,-335,-1129,363
2626,2,3012,-1776,13700,-353,-828,291
2636,2,2904,-1712,13512,-401,-536,224
2646,2,2740,-1912,13804,-440,-314,137
2656,2,2668,-2224,13932,-474,-159,71
2666,2,2564,-2468,14044,-488,-138,2
2676,2,2228,-2616,14324,-541,-234,-76
2686,2,1976,-2516,14148,-558,-391,-129
2696,2,2168,-2564,14172,-622,-592,-180
2706,2,2452,-2460,14092,-674,-772,-239
2716,2,2696,-2456,14052,-745,-800,-269
2726,2,2956,-2476,13712,-771,-726,-306
2736,2,3148,-2584,13720,-813,-587,-343
2746,2,3328,-2576,13744,-833,-445,-343
2756,2,3308,-2620,13520,-829,-284,-347
2766,2,3236,-2632,13476,-870,-171,-354
2776,2,3128,-2864,13328,-873,-100,-362
2786,2,3012,-3052,13448,-897,-86,-372
2796,2,3044,-3168,13336,-865,-113,-414
2806,2,2948,-3204,13264,-851,-196,-458
2816,2,2968,-3164,13304,-793,-248,-448
2826,2,2980,-3132,13156,-719,-300,-462
2836,2,3028,-3008,13096,-641,-351,-468
2846,2,3064,-2756,12992,-576,-343,-457
2856,2,3132,-2432,13176,-512,-349,-480
2866,2,3096,-2408,13040,-469,-350,-477
2876,2,3172,-2300,13120,-436,-303,-459
2886,2,3260,-2260,13228,-403,-283,-431
2896,2,3288,-2124,13372,-371,-226,-414
2906,2,3424,-2148,13476,-316,-212,-384
2916,2,3400,-2248,13628,-300,-194,-347
2926,2,3648,-2432,13784,-273,-143,-324
2936,2,3772,-2592,13656,-276,-151,-304
2946,2,3964,-2820,13636,-290,-88,-259
2956,2,3924,-2964,13736,-294,-112,-197
2966,2,3740,-3104,13708,-299,-150,-142
2976,2,3544,-3204,13536,-310,-245,-57
2986,2,3552,-3160,13456,-316,-334,16
2996,2,3604,-3116,13340,-296,-359,91
3006,2,3648,-3204,13388,-306,-342,150
3016,2,3644,-3392,13452,-299,-257,204
3026,2,3528,-3220,13308,-278,-197,222
3036,2,3224,-3068,13388,-266,-175,228
3046,2,2940,-2848,13576,-236,-180,213
3056,2,2656,-2696,13428,-209,-224,199
3066,2,2660,-2544,13688,-198,-270,175
3076,2,2604,-2280,13688,-205,-285,148
3086,2,2956,-2336,13588,-191,-226,91
3096,2,3004,-2176,13504,-189,-136,42
3106,2,2976,-2308,13524,-175,-53,18
3116,2,3008,-2392,13448,-171,-15,-32
3126,2,2960,-2636,13312,-162,52,-89
3136,2,2904,-3016,13200,-125,26,-148
3146,2,2876,-3188,13304,-93,-29,-227
3156,2,2896,-3284,13540,-53,-102,-240
3166,2,2860,-3188,13496,2,-117,-285
3176,2,2912,-3104,13516,-1,-196,-306
3186,2,3068,-3092,13368,-21,-224,-293
3196,2,3224,-2824,13484,-53,-201,-268
3206,2,3288,-2860,13636,-85,-158,-249
3216,2,3360,-2904,13668,-134,-76,-234
3226,2,3276,-2900,13644,-188,-34,-230
3236,2,3244,-2984,13644,-186,13,-230
3246,2,3344,-3132,13600,-200,25,-237
3256,2,3204,-3076,13652,-206,30,-257
3266,2,3116,-3076,13564,-201,8,-294
